Date,B3SA3.SA,BBAS3.SA,BBDC4.SA,ELET3.SA,ITSA4.SA,ITUB4.SA,PETR3.SA,PETR4.SA,VALE3.SA,WEGE3.SA
2019-07-04,10.783447265625,19.958345413208008,21.74250030517578,31.09925079345703,8.020978927612305,29.791940689086914,10.619462966918945,9.475022315979004,33.7365837097168,10.337822914123535
2019-07-05,10.991083145141602,19.893239974975586,21.93171501159668,31.047718048095703,8.09417724609375,30.122150421142578,10.573688507080078,9.47848129272461,32.88125991821289,10.430953979492188
2019-07-08,10.963878631591797,19.875152587890625,21.831539154052734,30.721351623535156,8.100274085998535,30.04159164428711,10.777909278869629,9.564963340759277,33.266483306884766,10.49148941040039
2019-07-10,11.453577995300293,19.625585556030273,21.731372833251953,31.176542282104492,8.13687515258789,29.9610652923584,10.81663990020752,9.71025562286377,34.03694152832031,11.031665802001953
2019-07-11,11.197847366333008,19.242189407348633,21.5477237701416,33.469696044921875,8.051480293273926,29.920801162719727,11.02086067199707,9.824411392211914,33.98469924926758,10.989755630493164
2019-07-12,10.800642967224121,18.808156967163086,21.147048950195312,33.83900833129883,7.9294867515563965,29.365070343017578,11.091280937194824,9.869383811950684,33.8280029296875,10.752264022827148
2019-07-15,10.81152629852295,18.69602394104004,21.058006286621094,32.207176208496094,7.898988246917725,29.284549713134766,10.9046630859375,9.748307228088379,34.4025764465332,10.430953979492188
2019-07-16,11.154316902160645,18.72496223449707,21.063568115234375,33.323692321777344,7.862390518188477,29.397289276123047,10.774388313293457,9.62723159790039,34.63762283325195,10.482175827026367
2019-07-17,11.2332124710083,18.72858238220215,20.9522705078125,34.65492248535156,7.8867902755737305,29.316755294799805,10.703967094421387,9.575343132019043,34.4025764465332,10.49148941040039
2019-07-18,11.16247844696045,19.046876907348633,21.408601760864258,34.86104965209961,8.057578086853027,30.097999572753906,10.58777141571045,9.516533851623535,34.337284088134766,10.593938827514648
2019-07-19,10.985642433166504,18.808156967163086,20.92444610595703,33.84759521484375,7.95998477935791,29.316755294799805,10.584251403808594,9.492318153381348,34.42216491699219,10.612564086914062
2019-07-22,11.24953556060791,18.811767578125,21.21382713317871,33.17768859863281,8.081979751586914,29.81609344482422,10.598334312438965,9.509613990783691,34.24587631225586,10.524086952209473
2019-07-23,11.086302757263184,18.591136932373047,21.286169052124023,32.92861557006836,8.124675750732422,30.106048583984375,10.651151657104492,9.519996643066406,33.79534912109375,10.514772415161133
2019-07-24,11.570564270019531,18.927513122558594,21.686843872070312,33.04885482788086,8.112479209899902,30.081890106201172,10.563124656677246,9.461185455322266,33.07061004638672,10.71035385131836
2019-07-25,11.399166107177734,18.12816047668457,20.42359733581543,32.3961296081543,7.868492126464844,29.155670166015625,10.372986793518066,9.302057266235352,32.96614456176758,10.612564086914062
2019-07-26,11.464460372924805,18.084762573242188,20.16204071044922,33.066036224365234,7.935587406158447,29.679168701171875,10.049052238464355,9.042611122131348,32.79637908935547,10.877994537353516
2019-07-29,11.595046043395996,18.247528076171875,20.117517471313477,32.954383850097656,7.923388957977295,29.799991607666016,10.17228889465332,9.125633239746094,32.81596755981445,11.022481918334961
2019-07-30,11.733797073364258,18.06305694580078,19.700132369995117,33.452518463134766,7.79529333114624,28.809345245361328,10.105389595031738,9.077203750610352,32.65273666381836,11.218811988830566
2019-07-31,11.478063583374023,17.802642822265625,19.19929313659668,33.830421447753906,7.606207847595215,28.04420280456543,10.137077331542969,9.021854400634766,32.52214813232422,11.134673118591309
2019-08-01,11.657622337341309,17.63264274597168,19.032337188720703,36.16651153564453,7.655007839202881,28.10464859008789,9.98215389251709,9.080662727355957,31.601531982421875,10.95236587524414
2019-08-02,11.731075286865234,17.636259078979492,19.087451934814453,36.88795852661133,7.600106239318848,28.14493179321289,10.284963607788086,9.174063682556152,31.23589515686035,11.097277641296387
2019-08-05,11.282181739807129,17.307119369506836,18.742225646972656,36.4499397277832,7.478116512298584,27.75818634033203,9.858916282653809,8.838512420654297,30.034513473510742,10.891595840454102
2019-08-06,11.644020080566406,17.542221069335938,19.02620506286621,36.61311721801758,7.722096920013428,28.596149444580078,10.024404525756836,8.952668190002441,30.4393253326416,11.172070503234863
2019-08-07,11.818133354187012,17.524141311645508,19.42709732055664,35.85732650756836,7.923388957977295,29.651681900024414,9.929338455200195,8.855810165405273,30.347919464111328,11.363722801208496
2019-08-08,12.332322120666504,17.65073013305664,19.521757125854492,37.23149871826172,8.002679824829102,29.812828063964844,10.165247917175293,9.115255355834961,30.804960250854492,11.42448902130127
2019-08-09,12.378570556640625,17.596473693847656,19.198814392089844,38.030235290527344,7.9660820960998535,29.587221145629883,10.077220916748047,9.091041564941406,29.70151710510254,11.30295467376709
2019-08-12,12.035778045654297,16.999671936035156,18.797914505004883,36.88795852661133,7.685502052307129,28.362478256225586,9.806100845336914,8.8731050491333,29.486055374145508,11.101951599121094
2019-08-13,12.476509094238281,17.1986083984375,18.987220764160156,37.42044448852539,7.8806891441345215,28.91844367980957,9.91604232788086,8.991643905639648,30.36097526550293,11.349699974060059
2019-08-14,11.888869285583496,16.598194122314453,18.614168167114258,35.29047775268555,7.776998043060303,28.281902313232422,9.611042022705078,8.688321113586426,29.303239822387695,10.793435096740723
2019-08-15,11.793648719787598,16.583724975585938,18.486093521118164,34.65492248535156,7.807494163513184,28.201322555541992,9.398250579833984,8.447751998901367,28.656841278076172,10.447522163391113
2019-08-16,12.106514930725098,16.540325164794922,18.525068283081055,35.55672073364258,7.839140892028809,28.117502212524414,9.355693817138672,8.336186408996582,28.526256561279297,10.65787410736084
